_id,number,country,date,narrative,town,location,deaths,deaths_min,deaths_max,civilians,injuries,children,tweet_id,bureau_id,bij_summary_short,bij_link,target,lat,lon,names/0
55c79e721cbee48856a30a96,529,Yemen,2014-04-20T00:00:00.000Z,"Late on Sunday, another strike flipped a car in Shabwa, killing 5 people.",Usylan,Shabwah Province,3-4,3,4,,,1,458029689206882304,YEM173,"Elite US and Yemeni Special Forces soldiers ambushed a car in Shabwa, an eastern Yemeni province to the north of location of the previous two attacks. At least three people were killed. Unnamed US officials told the New York Times the CIA had carried out the drone strikes.",http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.6757656,46.29878849,
55c79e721cbee48856a30a97,530,Yemen,2014-05-12T00:00:00.000Z,6 people killed.,Wadi Abeeda,Marib Province,4-6,4,6,,,,465832286819061761,YEM174,At least four people were killed in a US drone strike in Mareb. They were travelling in a vehicle travelling to a farm in the area. Witnesses named two of the victims as: Naif Faraj and Mousleh al Arahabi.,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,15.61240195,45.51011473,"Naif Faraj,Mousleh al Arahabi"
55c79e721cbee48856a30a98,531,Yemen,2014-06-04T00:00:00.000Z,"On Wednesday night, a US drone strike killed 3 men in a Suzuki.",Wadi Abeeda,Marib Province,3-4,3,4,,,,474559951860662273,YEM175,At least three alleged AQAP members were killed in a reported US drone strike on a vehicle in Wadi Abeeda - also the site of the previous reported strike.,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,15.61240195,45.51011473,
55c79e721cbee48856a30a99,532,Pakistan,2014-06-11T00:00:00.000Z,"A US drone fired missiles at a truck, killing 6 people and damaging two nearby houses.",Tabi Tolkhel,North Waziristan,4-6,4,6,,,,476817706608775168,Ob333,"The first drone strike in almost six months reportedly hit a house and vehicle. Early reports put the death toll at three, rising to 'at least four' and as many as six people had died. An intelligence official said the drone targeted a pick-up truck parked against the outer wall of a housing compound, setting both on fire. But locals told NBC that the vehicle had been driving through the village when it came under attack, and the damage to buildings may have been unintended: 'Two nearby houses were partially damaged in the missile strikes, but the target was the truck,' said resident Yar Mohammad.",http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,33.07804735,69.91707654,
55c79e721cbee48856a30a9a,533,Pakistan,2014-06-12T00:00:00.000Z,"Missiles split the night in Dande Darpa Khel, killing 10 people and injuring four.",Dande Darpa Khel,North Waziristan,6-10,6,10,,4,,477102263702675457,Ob334,"Hours after the five-month hiatus in drone strikes ended, drones fired multiple missiles at alleged militants, reportedly killing either six or 10 people.",http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,33.03137271,70.02775522,
55c79e721cbee48856a30a9b,534,Yemen,2014-06-14T00:00:00.000Z,"Five people driving. A buzzing above. A missile arrived, ending the lives of 'all 5 passengers.'",Mafraq al-Saeed,Shabwah Province,5-6,5,6,,,,477833330419724288,YEM176,At least five alleged AQAP members were killed when their vehicle or convoy of vehicles was hit by several missiles fired by a US drone.,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,14.47769544,46.15628273,
55c79e721cbee48856a30a9c,535,Pakistan,2014-06-18T00:00:00.000Z,"Ten years after the first CIA drone strike in Pakistan, missiles hit a house, killing 6 people.",Dande Darpa Khel,North Waziristan,4-8,4,8,,2-4,,479237647894736896,Ob335,The third strike of the month killed at least five alleged militants in the early hours - around 4-4.30am. Most sources reported as many as six missiles hit a house and a vehicle on the outskirts of Miranshah - the capital of North Waziristan. Some sources reported the vehicle was inside the walls of housing compound when the strike hit while others were less specific.,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,33.08948188,69.96249171,
55c79e721cbee48856a30a9d,536,Pakistan,2014-07-10T00:00:00.000Z,"A US drone fired missiles at a house, killing 6 people.",Doga Mada Khel,North Waziristan,6,6,7,,2-3,,487282681663606784,Ob336,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.898757,69.757682,
55c79e721cbee48856a30a9e,537,Pakistan,2014-07-16T00:00:00.000Z,Fifteen people were killed when a US drone attacked a house in Datta Khel.,Datta Khel,North Waziristan,15,15,24,,4-7,,489479630475522051,Ob337,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.898313,69.749205,
55c79e721cbee48856a30a9f,538,Pakistan,2014-07-19T00:00:00.000Z,Six missiles extinguished 15 people as they slept in tents and mud houses.,Doga Mada Khel,North Waziristan,15,11,15,,,,490475367145431040,Ob338,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.899205,69.769976,
55c79e721cbee48856a30aa0,539,Pakistan,2014-08-06T00:00:00.000Z,Two missiles hit a house. 'The bodies of the five people killed were charred beyond recognition.',Datta Khel,North Waziristan,5,5,7,,2-3,,497000135998844928,Ob339,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.901274,69.731456,
55c79e721cbee48856a30aa1,540,Yemen,2014-08-09T00:00:00.000Z,3 people were killed and two women were wounded when a US drone attacked a house in Marib.,Wadi Abida,Marib Province,3,3,3,,2,,498135284639612929,YEM166,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,15.412781,45.375369,
55c79e721cbee48856a30aa2,541,Yemen,2014-08-16T00:00:00.000Z,"Three men were driving along a desert road when a drone fired missiles at them, killing all three.",,Hadhramaut Province,3,3,3,,,,501036775968878592,YEM167,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,16.367958,49.545398,
55c79e721cbee48856a30aa3,542,Somalia,2014-09-01T00:00:00.000Z,Ahmed was in the forest. Four drone missiles came out of the sky. Up to 8 people killed.,Baraawe,Lower Shabelle,6-8,6,8,,,,506820560412610561,SOM020,,http://www.thebureauinvestigates.com/2012/02/22/get-the-data-somalias-hidden-war/,,1.206811,43.873565,
55c79e721cbee48856a30aa4,543,Yemen,2014-09-11T00:00:00.000Z,Four people were killed when a US drone fired missiles at a pickup truck.,,Shabwah Province,4,4,5,,,,510092449641811969,YEM168,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,15.059262,46.855642,
55c79e721cbee48856a30aa5,544,Pakistan,2014-09-24T00:00:00.000Z,10 people killed.,Datta Khel,North Waziristan,10,5,11,,2,,514781802725400576,Ob340,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.904805,69.780743,
55c79e721cbee48856a30aa6,545,Yemen,2014-09-26T00:00:00.000Z,"On Friday night, Arafat's kids were hit with drone shrapnel. Three people were killed.",Khasaf,Al Jawf Province,3,2,3,,3,,516387914096574464,YEM170,,http://www.thebureauinvestigates.com/2014/01/06/yemen-reported-us-covert-actions-2014/,,16.16924,44.796697,
55c79e721cbee48856a30aa7,546,Pakistan,2014-09-28T00:00:00.000Z,Four people suspected of being militants were killed by an American drone.,Wana,South Waziristan,4,2,4,,1-4,,516394310418575361,Ob341,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.268118,69.581148,
55c79e721cbee48856a30aa8,547,Pakistan,2014-10-05T00:00:00.000Z,Five people were killed and 3 others were wounded when missiles struck Shawal Valley.,Shawal,South Waziristan,5,4,5,,2-3,,519204550020853760,Ob342,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.578645,69.449321,
55c79e721cbee48856a30aa9,548,Pakistan,2014-10-06T00:00:00.000Z,"Eight people killed, six wounded. ""Habib's death could not be independently verified.""",Shawal,South Waziristan,8,4,8,,4-6,,519205526605791232,Ob343,,http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/,,32.578959,69.45239,
